_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
laurentian-bank,1972,Laurentian Bank,Canada,84.3,1217,François Desjardins,1132,Canada,Regional Banks,
lazard-ltd,1800,Lazard,Bermuda,986.4,4868,Kenneth Jacobs,2437,Bermuda,,
lear,920,Lear,United States,745.5,8274,Matthew Simoncini,18209,Michigan,Auto & Truck Parts,Michigan
legal-general-group,238,Legal & General Group,United Kingdom,1642.4,20971,Nigel Wilson,19189,United Kingdom,Life & Health Insurance,
legend-holding,611,Legend Holding,China,747,5934,Li Zhu,49268,China,Computer Hardware,
legrand,1147,Legrand,France,610.6,15133,Gilles Schnepp,5334,France,Electrical Equipment,
lend-lease-group,1140,Lend Lease Group,Australia,492.9,5606,Stephen Mccann,11078,Australia,Real Estate,
lennar,826,Lennar,United States,825.1,10162,Stuart Miller,9820,Florida,Construction Services,Florida
lenovo-group,840,Lenovo Group,China,-208.2,9066,Yuanqing Yang,47113,China,Computer Hardware,
leshi-internet-information-technology-corp-beijing,1834,Leshi Internet Information & Technology Corp. Beijing,China,93.1,16808,Yue Jia,2424,China,,
leucadia-national,1038,Leucadia National,United States,270.4,6163,Richard Handler,11105,New York,Conglomerates,New York
level-3-communications,504,Level 3 Communications,United States,3433,19182,Jeffrey Storey,8229,Colorado,Telecommunications services,Colorado
li-fung,1300,Li & Fung,Hong Kong,421,5403,Spencer Fung,18831,Hong Kong,Trading Companies,
liberbank,1745,Liberbank,Spain,135.3,1174,Manuel Menéndez,1253,Spain,Regional Banks,
liberty-global,591,Liberty Global,United Kingdom,-1152.5,31440,Mike Fries,18280,United Kingdom,Broadcasting & Cable,
liberty-interactive,664,Liberty Interactive,United States,869,12990,Gregory Maffei,9989,Colorado,Internet & Catalog Retail,Colorado
lincoln-national,396,Lincoln National,United States,1154,10598,Dennis Glass,14002,Pennsylvania,Life & Health Insurance,Pennsylvania
linde,321,Linde,Germany,1274.2,28310,Wolfgang Büchele,19898,Germany,Diversified Chemicals,
